职位,公司,薪资,公司福利,招聘信息,职位信息,职能类别,公司地址 
HTML5开发工程师,广州沱妮科技有限公司,1.5-2万/月,,广州-越秀区|无工作经验|大专|招5人|01-14发布,"1、负责主线产品App及web系统、推广活动等H5页面的开发和优化；2、负责移动web应用以及pc前端开发工作，开发具有高性能和高可靠性的系统，具有可扩展性；3、整体页面结构及样式层结构的设计、优化；4、利用HTML5相关技术开发跨平台的前端产品；5、配合UI设计人员完成设计，与后端人员进行调试、数据交互。职位需求：1、三年以上WEB前端经验，有丰富APP前端开发的项目经验；2、精通HTML5/CSS3/javascript等前端开发技术；精通AJAX运作机制；3、熟悉jquery,bootstrap等前端开发框架；4、熟悉响应式设计、前端性能优化；5、熟悉与后端配合的工作模式；6、熟悉W3C标准与ES规范，熟悉Web语义化；7、熟练掌握沙盒模型、常用布局以及浏览器和移动设备兼容性；、熟练使用各种调试、抓包工具，能独立分析、解决和归纳问题。越秀区法政路61号或者外派广州沱妮科技有限公司民营公司50-150人",软件工程师HTML5,越秀区法政路61号 或者 外派
通信工程师-网络技术（实习）,上海大唐移动通信设备有限公司,2-3千/月,,广东省|无工作经验|大专|招1人|03-05发布,1、2019年应届高等专科、2020年应届本科院校通信、电子、计算机专业毕业生。2、有志于从事中国通信事业，身体健康，吃苦耐劳，能够适应短期出差。3、良好的学习能力、良好的沟通协调能力。4、服从项目工作调配。5、有在校担任班级、校级干部的优先。省内各地市上海大唐移动通信设备有限公司国企500-1000人,通信技术工程师,省内各地市
网优工程师（佛山）,南京欣网通信科技股份有限公司,1.5-3千/月,,佛山|无工作经验|大专|招6人|03-12发布,岗位职责：1、协助规划与优化无线网络，网络制式包括GSM、TD-SCDMA、LTE；2、协助完成网络评估/测试、网络规划、工程服务、一般和专项网络优化等；3、协助处理分析性能数据及存在的网络问题，给出规划及优化工作。岗位要求：1、通信、计算机及电子相关专业大专及以上学历，应届毕业生，愿意在通信行业长期发展；2、具备较好的沟通、协调及学习能力，接受出差和驻点。职位编码:XW-JS-005佛山南京欣网通信科技股份有限公司民营公司1000-5000人,通信技术工程师网络优化,佛山
大数据实习生,广州智算信息技术有限公司,3-4千/月,,广州-天河区|无工作经验|大专|招3人|03-13发布,1、负责公司大数据平台的部署、管理、优化、监控报警，保障平台服务7*24稳定可靠高效运行；2、深入理解公司大数据平台架构，发现并解决性能瓶颈，支撑业务和数据量的快速增长；3、开发大数据自动化运维、监控报警、故障处理相关脚本和工具；任职要求：1、大专以上学历，计算机及通信相关专业19年应届毕业生；2、具备一定的故障排查能力，有良好的技术敏感度和风险识别能力，熟悉一门以上脚本语言(shell/python等)，熟悉Http/Https、TCP/IP、SMTP等协议高德置地冬广场22楼广州智算信息技术有限公司民营公司50-150人,软件工程师,高德置地冬广场22楼
工程项目助理（实习）,公诚管理咨询有限公司第六分公司,1.5-2.5千/月,周末双休包住宿,佛山-禅城区|无工作经验|大专|招20人|03-13发布,1、补贴：电话补贴，交通补贴。2、住宿：提供免费住宿。4、培养培训：公司安排专人指导实习生的实习工作开展。5、为每位实习生购买20万的商业意外保险6、工作时间：每周工作5天，节假日照常休假，享受国家规定假期。电子邮箱：gcmcfszp@sina.com公司网址：http://www.gcmc.cc/公司地址：广东省佛山市禅城区魁奇一路33号魁奇电信大楼A座7楼魁奇1路33号电信大厦东座7-8楼公诚管理咨询有限公司第六分公司国企1000-5000人,实习生通信工程,魁奇1路33号电信大厦东座7-8楼
技术助理,惠州市云网客网络科技有限公司,1.5-2千/月,,惠州|无工作经验|大专|招1人|03-13发布|计算机网络计算机应用,一、岗位职责：协助经理开展日常系列工作（如：网站数据整理、资料导入、日常工作等）；简单客户沟通维护，及时将工作情况汇报于经理；二、任职资格：九零后，中专以上学历；熟练操作计算机、微信等网络工具；有责任心和团队合作精神；服从公司工作安排，勤劳。惠州市惠城区河南岸麦科特大厦5楼501惠州市云网客网络科技有限公司民营公司50-150人,网站运营专员其他售后数据整理资料导入,惠州市惠城区河南岸麦科特大厦5楼501
技术工程师,凯通科技股份有限公司,2-2.8千/月,,广州-黄埔区|无工作经验|大专|招若干人|03-13发布,岗位职责：1、负责项目软硬件安装部署；2、参与系统巡检的问题处理；3、负责系统运行的日常维护；4、负责系统故障的分析、处理；5、参与培训、交流和提供咨询；6、负责方案和技术文档编写。职位要求：1、计算机、通信等相关专业；2、熟练掌握Linux操作系统；3、有数据库安装维护经验，掌握SQL脚本的编写；4、具备较强的分析、解决问题能力，承压能力强，适应经常出差；5、性格开朗，有责任心，有较强的学习能力，善于分析总结。科学大道99号科汇金谷三街12号9-11层凯通科技股份有限公司民营公司150-500人,技术支持/维护工程师,科学大道99号科汇金谷三街12号9-11层
数据分析师,广州汛芯网络技术有限公司,2-3千/月,,广州-天河区|无工作经验|大专|招1人|03-13发布,岗位职责：1、对业务流量等相关数据进行统计分析，为运营决策提供优化建议；2、通过数据进行分析，为精准运营提供数据支持；3、处理各项报表，对业务活动上线、内容更新、数据异常进行分析；任职要求：1、大专以上学历，统计学等相关专业，精通Excel，熟悉SQL；2、有互联网运营数据分析相关工作经验优先；3、数据敏感，善于沟通，自主能动性强。体育西路109号高盛大厦广州汛芯网络技术有限公司民营公司50-150人,大数据开发/分析数据excelsql分析报表ppt,体育西路109号高盛大厦
网络工程师,广州南天电脑系统有限公司,2-3千/月,餐饮补贴,广州|无工作经验|大专|招若干人|03-12发布,【职位描述】1、协助部门完成集成项目设备（路由器、交换机、防火墙等）的安装调试工作；2、辅助部门项目经理对集成项目的项目协调工作。【职位要求】1、专业：计算机科学、通信技术或相关专业，大专以上学历的19届毕业生；2、熟悉TCP/IP技术；3、了解主流的网络、安全品牌产品；4、熟悉Office办公软件；5、有相关证书优先考虑。广州中山大道天河软件园（科韵园区）建工路1号南天大厦5层广州南天电脑系统有限公司上市公司500-1000人,网络工程师,广州中山大道天河软件园（科韵园区）建工路1号南天大厦5层
IT技术支持,广州华欣电子科技有限公司,2.5-4千/月,,广州-黄埔区|无工作经验|大专|招若干人|03-12发布,"任职要求：1.计算机、通信类相关专业优先，大专及以上学历；2.能够熟练应用Office办公软件等常用工具；3.熟悉TCP/IP等网络协议，熟悉Linux系统的体系结构，掌握WINDOWSServer/XP/win7/win10操作系统,熟悉操作系统的配置和管理；掌握WindowsAD域环境常见配置和管理4.踏实、稳重，有良好的组织沟通、协调能力，具有团队协作精神。岗位职责：1、系统管理：维护业务系统（电话、文件、财务等），确保业务系统正常运行；2、软件管理：软件的安装维护和使用,对软件进行统一管理；3、硬件管理：服务器故障维护(文件备份，恢复，系统漏洞检测，病毒检测，清除等)；客户端故障维护（包括系统安装，系统更新，常用软件安装）；电脑常见外设故障维护（打印机，扫描仪等）；4、网络管理：优化企业网络，局域网故障维修(对现有公司内部局域网络维护、测试，保证内部网络通讯正常，网络故障的解决等)；5、IT设备管理：清点硬件，做好硬件变更管理，用户权限设置（包括用户权限，密码等设置）；客户文档的制作（包括网络设置，硬件列表，用户列表等文档）；6、定期评估IT设备和服务的采购，确保IT设备物资的供给和服务的更新。此岗位面向2019年的应届毕业生实习期间包食宿，上下班班车接送，实习补贴；一对一定制成长计划，导师带你成长；部门活动丰富多彩，篮球、羽毛球、户外活动、短途旅游交错举行；一日三餐免费三星级自助餐，24小时零食无间断供应；宿舍拎包即可入住，实习保险让你后顾无忧。毕业入职后个人收入：1.全年13月薪2.结合公司经营状况和个人绩效，发放奖金3.父母体检、住房补贴、春节补贴、员工婚庆补贴、生育补贴、话费补贴4、一日三餐星级酒店标准，免费；24小时不间断零食供应5.每年1次大型旅游、两次体检6.五险一金、雇主商业险7.周末双休、带薪年假、按照国家法定节假日放假，还有更多福利等你来享受。整体收入构成：工资+奖金+福利。南翔二路72号易翔科技园A栋5楼广州华欣电子科技有限公司合资50-150人",技术支持/维护工程师网络管理(Helpdesk)IT技术支持网络管理,南翔二路72号易翔科技园A栋5楼
安全运维工程师,广州劲量科技有限公司,2-3.5千/月,,广州-天河区|无工作经验|大专|招若干人|03-08发布,1、负责办公环境日常管理维护，对系统进行性能分析、优化、问题跟踪。2、负责安装部署、系统监控、故障分析和排查，及时响应并处理各种故障。4、研究系统架构、提高系统的健康性，参与运维流程制定、保证高效响应。6、完成上级交办的工作任务。2、熟悉windows、Linux操作系统、数据库系统的应用，熟悉网络、安全相关技术及运维相关产品；3、责任心强，主动性强，语言表达和思维逻辑清晰，书面表达能力强，性格乐观较外向，具有良好的协调沟通能力与抗压能力；4、具有团队意识，积极配合完成相关工作。天河北路908号高科大厦B座2003广州劲量科技有限公司民营公司少于50人,技术支持/维护工程师售前/售后技术支持工程师运维工程师技术维护服务支持,天河北路908号高科大厦B座2003
python研发工程师,广州非凡信息安全技术有限公司,3-5千/月,,广州-天河区|无工作经验|大专|招2人|03-02发布,工作职责：开发与优化公司安全产品（实习）职位要求：1、熟悉python开发、熟悉Mysql数据库操作2、熟悉Scrapy、flask等框架，有爬虫、数据处理、多线程处理等类似的python脚本经验3、熟悉json、xml等数据结构4、有探索精神，能读基本懂国外技术文章体育西路109号高盛大厦11楼E单元广州非凡信息安全技术有限公司民营公司少于50人,软件工程师python研发,体育西路109号高盛大厦11楼E单元
市场专员,北斗星际（广州）教育科技发展有限公司,2-3千/月,,广州-黄埔区|无工作经验|大专|招2人|01-17发布,1.协助市场部工作，提供后台支持，如整理协议，报价方案等，基础内容已有，需要美化、规范2.市场调研，搜集相关市场动态并进行分析，为领导决策提供依据;3.协助领导制定市场推广计划以及推广方案;活动实施与前后期对接；4.跟踪并联系客户，记录客户反馈意见，并根据客户意见进行推广方案的改进;5.做好公司品牌宣传，新产品的文案策划、包装对接等；6.负责企业各类媒体的运营、更新。主要是网站和微信公众号等媒体；7.市场部活动跟进，对接各方资源和信息，及时统筹。1.大专以上学历，专业不限，文秘、中文、市场营销等专业优先。2.能力优秀者，没有工作经验也可。公司愿意培养毕业生。3.黄埔本地人优先！4.为人正直，三观明确。待人有亲和力为宜。5.本岗位招聘2人。1.实习生享受实习补贴：2000元/月。暂时不买社保，包一个工作午餐。2.能力合适者，正常可以三个月转正，无毕业证者需拿到毕业证再行转正。3.正式员工待遇：税前4-7K，享受市场部年终分红。（具体金额看当年业绩情况），购买社会保险+公积金。4.员工福利：生日礼物+部门季度活动+业绩达成奖励旅游+转正一年后享受感恩金（给父母的，爸爸妈妈每人每月各100元，直接转账到家长账户）5.对无人机学习有兴趣或有天赋者，可员工价考取无人机驾驶证。6.岗位职业规划：市场专员--市场销售--市场主管--市场经理--市场总监--总经理...7.工作时间：周一-周五9:00-18:00，午餐午休12:00-14:00.8.工作地点：黄埔体育中心商务中心318室（丰乐北路398号）9.联系电话:刘小姐：18027252779黄埔体育中心北斗星际（广州）教育科技发展有限公司民营公司少于50人,销售行政专员产品/品牌专员市场专员策划,黄埔体育中心
移动应用开发工程师（IOS）,广州盛华信息有限公司,6-8千/月,餐饮补贴绩效奖金专业培训周末双休,广州|无工作经验|大专|招1人|03-13发布,1、负责设计、开发IOS应用程序。1、本科或以上学历；2、精通Objective-C、Swift编程，至少独立开发过2个ios应用项目，且已在Appstore应用上架；3、具有良好的编程风格；4、责任心强，有良好的团队合作精神和沟通能力；5、一年以上的IOS应用程序开发经验，有通信领域开发经验者优先。9:00-18:00固定周六日双休1、广州市白云区三元里大道北棠新西街67号天龙大厦广州市白云区三元里大道北棠新西街67号天龙大厦广州盛华信息有限公司外资（非欧美）1000-5000人,移动通信工程师,广州市白云区三元里大道北棠新西街67号天龙大厦
传输项目经理（无线，驻地网，通信工程）,广州昊翰通信科技有限公司,6-8千/月,周末双休带薪年假五险一金绩效奖金全勤奖节日福利交通补贴加班补贴高温补贴,中山|无工作经验|大专|招2人|03-13发布,"1、全面负责项目施工管理工作；2、在授权范围内负责与公司管理层、作业层、建设单位和监理单位、设计单位等协调、沟通，解决项目中出现的问题；3、调配并管理进入工程项目的人力、资金、物资、机械设备等生产要素。对工程项目施工进行有效控制，执行有关技术规范和标准，确保工程质量和工期，实现安全生产；4、组织编制竣工资料、工程结算、参加工程验收和工程交接工作，组织工程保修和工程服务工作；5、负责工程项目分服务方的选择与分包协议内容的谈判工作。任职要求：1、全日制专科以上学历，计算机、自动化及通信类专业；2、5年以上项目施工经验；至少3年项目管理工作经历；3、熟悉通信运营商（电信、移动、联通）管道、光缆，线路施工项目管理流程或有驻地网经验，具有较强的实际操作能力；4、较强的沟通能力、协作能力；5、有项目经理证,建造师证或安全员证优先考虑。中山东区小熬溪村二巷21号广州昊翰通信科技有限公司民营公司50-150人",无线通信工程师移动通信工程师驻地网,中山东区小熬溪村二巷21号
通信工程实习生（实习津贴丰厚，可安排广东省各城市）,深圳市天和通信有限公司惠州分公司,4-6万/年,五险一金年终奖金员工旅游交通补贴通讯补贴专业培训,广东省|无工作经验|大专|招30人|03-08发布,省内深圳市天和通信有限公司惠州分公司民营公司150-500人,无线通信工程师硬件工程师实习通信工程深圳佛山广州东莞计算机电子信息,省内
移动通信工程师,南京华苏科技有限公司广州分公司,2-3千/月,,东莞-东城区|无工作经验|大专|招10人|02-26发布,东城路380号东莞市移动通信服务楼。南京华苏科技有限公司广州分公司民营公司500-1000人,通信技术工程师,东城路380号东莞市移动通信服务楼。
移动通信工程师,南京华苏科技有限公司广州分公司,2-3千/月,,河源|无工作经验|大专|招5人|02-26发布,源城区建设大道89南京华苏科技有限公司广州分公司民营公司500-1000人,移动通信工程师,源城区建设大道89
无线通信工程师,南京华苏科技有限公司广州分公司,2-3千/月,,湛江|无工作经验|大专|招5人|02-26发布,完成LTE、GSM等网络的日常测试优化工作；协助完成KPI的收集、分类、报表制作、指标分析、方案输出等工作；协助客户提出的疑难问题给予正确、合理的解决方案；协助完成后台的KPI、TOPN问题处理及分析工作；具备良好的沟通及学习能力，良好的服务意识；有较强应变能力，吃苦耐劳，工作责任心强，有激情，良好的团队合作精神；工作时间稳定、自备电脑。赤坎区虹都大厦B栋南京华苏科技有限公司广州分公司民营公司500-1000人,无线通信工程师,赤坎区虹都大厦B栋
客服實習生（3000底薪+高福利）,深圳市皇宝通信服务有限公司,4.5-6.5千/月,带薪年假绩效奖金全勤奖节日福利专业培训年终奖金业绩分红出國旅遊医疗保险,广州-越秀区|无工作经验|大专|招10人|03-13发布|粤语熟练,岗位职责：1.了解客户需求，为客户提供专业和保障的售前服务；2.与客户保持良好的沟通，及時了解客戶需求。福利待遇：1）提供有竞争力激励方案#试用期无责任底薪3000+提成+奖金；转正后无责任底薪+高提成不封顶+奖励+季度奖+年终奖；平均工资为5000—8000元，优秀销售月薪可达10000元以上2）完善福利体系#实行長短周天工作制，月休6日、享受国定假期；#享受“完善的社会保险、人身意外险、各类带薪假期、团队活动等”；#人性化的上班时间9:15-18:15绝对避开上班高峰期（无需加班，无需上夜班）；#每月的娱乐活动（生日会、生日福利、零食派对、自助餐、BBQ、篮球、羽毛球等活动）；3）舒适环境#甲級写字楼办公，无需外访客户；交通便利，临近地铁站和公交站培训与发展：1）公司有完善的培训体系、为员工提供适应全新业务模式的系统培训；2）为员工提供多维度职业发展通道。（顾问—资深顾问—主任—高级主任—主管—高级主管—副经理—经理—高级经理）（实习生要求实习满半年以上）西湖路18号广百新翼商务中心2302-07深圳市皇宝通信服务有限公司民营公司150-500人,客服专员/助理咨询热线/呼叫中心服务人员渠道销售业务员网络销售渠道经理实习生渠道专员客服銷售客户代表,西湖路18号广百新翼商务中心2302-07
销售代表（港资公司+3000底薪）,深圳市皇宝通信服务有限公司,5.5-8.5千/月,带薪年假绩效奖金全勤奖节日福利专业培训年终奖金业绩分红医疗保险,广州-越秀区|无工作经验|大专|招5人|03-13发布|粤语熟练,岗位职责：1.维护、巩固、提升公司现有客户渠道及额外资源2.根据项目要求并联系客户，将相关信息详细带给客户3.与客户保持良好沟通，了解客户需求，妥善处理客户，独立完成售前工作任职要求：1.18岁以上，口齿清晰，粤语流利，语言富有感染力；2..积极主动、思维灵活、踏实严谨，进取心、责任心强，有团队意识、良好的客服意思；3.较强的沟通及压力承受能力；4.良好的沟通技巧，具有较强的谈判能力和影响力；5.做事认真仔细，沟通能力强；吃苦耐劳；有独立处理问题的能力，服从安排。薪酬福利：无责任底薪（3000-5000）+高提成不封顶+奖励+季度奖+年终奖+完善的社会保险和人身意外险+年度的薪资调整+丰厚的绩效花红和年底分红+带薪年假及完美的法定假期+单双休+全方位的系统培训、专业的培训讲师+推荐新人奖+业绩高手奖+每年的国外旅游及国内旅游活动+每月的娱乐活动+各种每月实物奖励+自我能力的发挥及展示+无限提升自己能力的机会！！！晋升空间：健全的职位晋升通道（顾问—资深顾问—主任—高级主任—主管—高级主管—副经理—经理—高级经理）上班时间：9：15-18:15，单双休（无需上夜班和加班）我们不看学历，我们只看实力！如果你不甘平凡，如果你有大的野心抱负，欢迎您加入我们，和我们一起奋斗！（实习生要求实习满半年以上）西湖路18号广百新翼商务中心2302-07深圳市皇宝通信服务有限公司民营公司150-500人,客服专员/助理客服经理渠道销售业务员网络销售渠道经理实习生渠道专员快消养老粤语,西湖路18号广百新翼商务中心2302-07
云数据中心维护文员,广州瀚信通信科技股份有限公司,2-3千/月,,广州-天河区|无工作经验|大专|招2人|03-13发布|计算机网络计算机应用,【岗位职责】1、协助受理大型运营商云数据中心服务台各类服务请求，并做好电话/邮件跟进、反馈；2、协助完成大型运营商云数据中心日常运营数据统计及发布，保证数据准确性和及时性；3、协助维护大型运营商云数据中心各类运维工作记录表单，对工单进行统计分析，保证记录完整性及准确性；4、协助知识库管理员定期更新云数据中心服务台知识库，保证知识库文档的更新及可用性；【任职要求】1、计算机相关专业大专以上学历；2、熟悉office办公软件，沟通流畅；3、良好的沟通及表达能力，善于倾听，具备较强的服务意识与服务能力；4、善于学习，责任心强，诚实敬业，做事耐心细致，稳定，踏实，能承受一定的工作压力；5、有网络基础知识或了解虚拟化基础知识优先。【工作地点】广州市天河区高唐路333号中国移动南方基地【工作时间】9:00-17:30【岗位薪酬福利】1、实习期：入职之日至提供毕业证之日公司配备办公电脑+导师带领培训指导工作+4、转正后：按正式员工级别定级定薪；六险一金+带薪年假+生日福利+年度体检+节假日福利等齐全5、吃住自理，薪资已包含住宿补贴广州市天河区高唐路333号中国移动南方基地广州瀚信通信科技股份有限公司民营公司500-1000人,技术支持/维护工程师投诉专员处理数据买保险导师带领工作可转正,广州市天河区高唐路333号中国移动南方基地
美工实习生,广州微卖通信息科技有限公司,2-3千/月,五险一金绩效奖金年终奖金周末双休弹性工作,广州-天河区|无工作经验|大专|招1人|03-06发布,岗位职责：1、商品拍照及修图2、设计优化产品详情页3、设计优化电商各类页面岗位要求1、艺术设计或其他美术类相关专业，有电商美工设计经验优先；2、具有较好的创意能力和视觉效果表现力；3、精通Photoshop、illustrator、CorelDRAW、Flash等各种工具软件，能够独立完成店铺的视觉工作；4、工作认真、主动、负责、踏实，具有良好的沟通能力及团队合作精神和很强的执行力。(面试时请携带您的设计作品)元岗路慧通产业园A区1318房广州微卖通信息科技有限公司民营公司50-150人,平面设计师实习生美工实习生设计摄影拍照,元岗路慧通产业园A区1318房
合同管理员,中山市汉普教育培训有限公司,4.5-6千/月,,中山|无工作经验|大专|招若干人|03-13发布,某单位-合同管理员岗位职责：1、负责起草各类业务合同，文本，经办签订合同及风险把控；2、完成与客户的结算、开票、收款、收入确认等工作；3、根据工程进度，收集工程竣工图纸并理新存货销售预算台账；4、负责业务合同的数据统计、分析和预测；任职要求：1、大专或以上学历，25-35岁；2、2年以上合同管理相关经验，有通信、建筑、市政等相关经验优先；3、熟练使用办公软件，有较强的写作能力；工资待遇：4500元/月，五险一金上班时间：上班时间：5天8小时，双休有意者请联系88262936欧小姐或投简历到hope668@163.com（必须注明应聘岗位）中山市博爱六路中山市汉普教育培训有限公司民营公司150-500人,合同管理,中山市博爱六路
销售代表,佛山市龙骨网络科技有限公司,0.8-1万/月,,佛山-禅城区|无工作经验|大专|招10人|03-13发布,用AI改变营销-----龙骨网络科技是慧之声科技(上海)有限公司佛山分公司，专注于人工智能语音呼叫系统，与国内顶尖的科大讯飞公司是战略合作关系。慧之声智能电话机器人是一款可以主动外呼的电话机器人，可以自然人声应答，并与用户进行多轮语音交流，主动向客户介绍产品，代替人工坐席，成功完成外呼工作，助力企业减少80%的人力成本和重复劳动力，创造更高的商业价值。在智能营销话术的支持下，能够准确的理解用户的回答及聊天意图，达到人与人之间无障碍畅快交流，针对不同的场景进行批量合规化语音外呼操作，成功解决了语音外呼中的质量保证及效率提升的问题，大大降低了人工通话中的诸多不可控因素。工作内容：职责：1、通过电话、互联网社交平台、上门拜访演示等独立负责公司产品的销售及推广；2、根据市场营销计划，完成销售指标；3、开拓新市场，发展新客户，增加产品销售范围，做好客户后期维护签约工作，拓展与老客户的业务，形成持续销售；4、收集客户信息，了解市场竞争情况；5、结合客户的特点制定出客户维系方案，同时根据客户需求和市场变化，对公司的产品和服务提出改进建议。岗位要求：1、有工作经验和销售经验优先，有梦想者学历放宽。2、有较强的学习应变能力，有意向挑战高薪能吃苦耐劳；3、有高度工作热情和耐心，有良好的团队合作能力，并能处理好团队和个人能力发挥的关系。4、男女不限、年龄20－35岁。薪资待遇:我们提供：1、8小时工作制，每周一休，享受国家法定假期。公司提倡员工不加班，在有限的时间有效率地工作;2、传统节日礼品+公司活动（员工聚餐、爬山郊游、唱K、年终晚会等）；3、基本工资+高额提成+绩效奖金薪酬与福利：1.薪酬：底薪+提成+绩效，5000-20000元/月；2.提供富有竞争力的业绩奖和年终奖金；3.旅游，每月团队活动；4.提供带薪假期：年假，婚假，产假，病假；5.按国家规定为员工购买五险。佛山市禅城区季华西路金盈绿岛湖国际中心A2座1303佛山市龙骨网络科技有限公司民营公司50-150人,销售代表推广销售,佛山市禅城区季华西路金盈绿岛湖国际中心A2座1303
实习生 国内销售代表,广州市宗显科技有限公司,1.5-2千/月,弹性工作绩效奖金节日福利专业培训餐饮补贴通讯补贴,广州-白云区|无工作经验|大专|招6人|03-13发布,1.熟练网络搜索引擎比如百度，Google等。在专人指导下能快速掌握关键词等技巧2.熟悉办公软件，懂photoshop者优先3.对网络优化推广有浓厚兴趣。4.对电子产品，显示屏，云端，互联网等有浓厚兴趣职能要求：1.吃苦耐劳，性格活泼，富有团队精神。2.喜欢阅读得到APP，和喜欢读书的优先3.具有较强的适应能力和应变能力，善于与人交流。广州市白云区西槎路813号聚龙工业区28栋西座4层广州市宗显科技有限公司合资50-150人,实习生销售代表国内销售实习销售人员实习销售代表实习电话销售实习网络推广实习渠道销售实习,广州市白云区西槎路813号聚龙工业区28栋西座4层
外贸业务员,广州市宗显科技有限公司,2.5-4.5千/月,做五休二周末双休弹性工作带薪年假包吃包三餐专业培训节日福利高温补贴,广州-白云区|无工作经验|大专|招8人|03-13发布,职位描述：维护国外客户，开发新客户，备制出口单据，跟踪外贸订单流程，协助部门经理完成公司外贸计划。工作内容及职责：1、联系和维护国外客户，开发新的海外客户。2、进行外贸定单的洽谈和签约。3、外贸订单的跟踪和管理。4、目标客户资料的整理，做好客户要求的及时反馈和处理。5、完成部门经理临时交办的其它工作。职位要求：1.熟悉国际贸易流程，有一年以上外贸业务经验，熟练开发新客户，有LED产品和LCD广告行业工作经验者优先。2.如能熟练掌握外语，并属于国际贸易专业的应届毕业生，积极向上，有志于长期在外贸行业发展均可考虑。3.喜欢阅读得到APP，和喜欢读书的优先4.具有较强的适应能力和应变能力，善于与人交流。广州市白云区西槎路813号聚龙工业区28栋西座4层广州市宗显科技有限公司合资50-150人,贸易/外贸专员/助理销售代表外贸销售人员外贸销售代表国际销售代表国际销售外贸业务员外贸业务代表外贸员国际业务,广州市白云区西槎路813号聚龙工业区28栋西座4层
外贸业务员,广州市宗显科技有限公司,2.5-4.5千/月,周末双休弹性工作带薪年假包吃包三餐专业培训节日福利高温补贴,广州-白云区|无工作经验|大专|招12人|03-13发布,职位描述：维护国外客户，开发新客户，备制出口单据，跟踪外贸订单流程，协助部门经理完成公司外贸计划。工作内容及职责：1、联系和维护国外客户，开发新的海外客户。2、进行外贸定单的洽谈和签约。3、外贸订单的跟踪和管理。4、目标客户资料的整理，做好客户要求的及时反馈和处理。5、完成部门经理临时交办的其它工作。职位要求：1.熟悉国际贸易流程，有一年以上外贸业务经验，熟练开发新客户，有LED产品和LCD广告行业工作经验者优先。2.如能熟练掌握外语，并属于国际贸易专业的应届毕业生，积极向上，有志于长期在外贸行业发展均可考虑。3.喜欢阅读得到APP，和喜欢读书的优先4.具有较强的适应能力和应变能力，善于与人交流。广州市白云区西槎路813号聚龙工业区28栋西座4层广州市宗显科技有限公司合资50-150人,贸易/外贸专员/助理销售代表外贸销售人员外贸销售代表国际销售代表国际销售外贸业务员外贸业务代表外贸员国际业务,广州市白云区西槎路813号聚龙工业区28栋西座4层
实习生 外贸实习生,广州市宗显科技有限公司,2.5-4.5千/月,弹性工作绩效奖金节日福利专业培训餐饮补贴通讯补贴,广州-白云区|无工作经验|大专|招12人|03-13发布,1.熟练网络搜索引擎比如百度，Google等。在专人指导下能快速掌握关键词等技巧2.熟悉办公软件，懂photoshop者优先3.对网络优化推广有浓厚兴趣。4.对电子产品，显示屏，云端，互联网等有浓厚兴趣职能要求：1.吃苦耐劳，性格活泼，富有团队精神。2.会使用得到APP，喜欢读书的优先3.流利的英文口语，会其他语种优先广州市白云区西槎路813号聚龙工业区28栋西座4层广州市宗显科技有限公司合资50-150人,实习生销售代表国内销售实习销售人员实习销售代表实习电话销售实习网络推广实习渠道销售实习,广州市白云区西槎路813号聚龙工业区28栋西座4层
外贸业务员实习生,广州市宗显科技有限公司,3-4.5千/月,弹性工作带薪年假包吃专业培训节日福利高温补贴通讯补贴交通补贴全勤奖绩效奖金,广州-白云区|无工作经验|大专|招3人|03-13发布|英语良好,"岗位职责1、管理阿里巴巴后台，及时更新、优化产品；2、同新、旧客户保持联系增加沟通,了解客户所需；3、接收客户的反馈信息,并将相关的信息传递到公司的相关部门；4、掌握、了解市场信息,开发新的客源。5、完成部门经理临时交办的其它工作。任职资格1、善良、大方得体，有较强的创新意识和团队合作精神；2、工作细心、优秀的沟通能力及强逻辑的能力；3、大学四级以上英语水平（六级、专四以上优先）,熟练的电脑操作技巧。4、有商务谈判的工作经验者优先。工作时间：六天八小时工作制（周一至周六8:30-12:00；13:30-18:00）福利待遇：午餐补贴，住房补贴，节假日补贴，周末双休，弹性薪资。工作环境舒适，人文环境舒适，交通便利。联系电话：020-83592605企业官网：http://www.zxiantech.com/cn/广州市白云区西槎路813号聚龙工业区28栋西座4层广州市宗显科技有限公司合资50-150人",贸易/外贸专员/助理销售代表商务英语外贸业务国际销售代表国际销售外贸业务员外贸业务代表外贸员国际业务,广州市白云区西槎路813号聚龙工业区28栋西座4层
